Sending country,UK,USA,France,Canada,Australia,Portugal,Spain,Belgium,So. Africa
Algeria,45,50,"10,594",10,0,2,60,99,0
Angola,16,0,5,25,0,"2,006",14,5,31
Benin,0,4,206,0,0,0,1,13,0
Botswana,28,10,0,0,3,0,0,1,26
Burkina Faso,0,0,77,0,0,0,0,1,0
Burundi,5,0,53,10,3,0,1,55,9
Cameroon,49,170,332,20,0,0,4,267,3
Cape Verde,0,15,10,0,0,186,0,0,0
Cent. Afr. Rep.,0,0,79,0,0,2,1,5,0
Chad,0,0,69,0,0,0,0,1,0
Comoros,0,0,20,0,0,0,0,1,3
"Congo, DR",37,90,139,35,0,42,4,107,98
"Congo, Rep.",11,15,468,0,0,49,4,65,135
Cote d'Ivoire,0,10,262,0,0,0,1,8,3
Djibouti,0,0,25,0,0,0,0,1,0
Egypt,"1,465","3,830",471,750,535,1,17,31,19
Eq. Guinea,0,0,4,0,0,1,76,0,0
Eritrea,18,55,0,20,5,0,0,0,0
Ethiopia,65,420,16,30,9,1,1,2,9
Gabon,0,0,61,0,0,0,0,4,0
Gambia,16,30,0,0,0,0,0,0,0
Ghana,590,850,16,95,0,0,4,2,82
Guinea,3,15,69,10,0,0,11,7,0
Guinea-Bissau,0,15,75,0,0,160,0,1,0
Kenya,"2,733",865,0,180,110,1,4,1,81
Lesotho,8,0,0,0,0,0,0,0,49
Liberia,10,105,5,0,0,0,5,1,0
Libya,349,120,20,75,5,0,9,7,0
Madagascar,6,30,878,0,0,0,0,6,0
Malawi,191,40,0,0,10,2,1,1,48
Mali,0,15,138,0,0,0,0,4,0
Mauritania,0,10,28,0,0,0,4,1,0
Mauritius,294,35,307,110,36,1,0,20,19
Morocco,33,225,"5,113",70,4,9,833,213,6
Mozambique,16,20,0,10,3,"1,218",4,2,61
Namibia,37,15,0,30,9,0,0,0,291
Niger,0,10,23,0,0,0,1,3,0
Nigeria,"1,997","2,510",29,120,0,1,13,6,180
Rwanda,4,25,8,0,0,1,0,70,10
Sao Tome & P.,0,0,0,0,0,96,1,0,0
Senegal,0,40,603,10,0,1,9,12,3
Seychelles,29,0,4,10,3,0,0,0,4
Sierra Leone,118,115,9,0,0,0,0,3,4
Somalia,53,70,0,25,3,0,0,0,0
South Africa,"3,509","1,950",16,"1,545","1,111",61,5,0,0
Sudan,606,65,17,15,40,0,1,4,10
Swaziland,4,4,0,0,0,1,0,0,44
Tanzania,743,270,4,240,54,1,1,3,40
Togo,0,10,168,0,0,0,0,2,0
Tunisia,16,30,"3,072",10,0,0,4,60,0
Uganda,"1,136",290,1,165,61,1,1,3,179
Zambia,465,130,0,40,39,3,0,3,203
Zimbabwe,553,235,0,55,97,12,1,6,643